15:21:19.502 [main] INFO  TestCases.TC_001_Registration - ****Launched the Application*****
15:21:19.546 [main] INFO  TestCases.TC_001_Registration - ****Maximized the browser*****
15:21:19.553 [main] INFO  TestCases.TC_001_Registration - ****Waiting for elements to load*****
15:21:20.122 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
15:21:23.274 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
15:21:23.383 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
15:21:23.470 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
15:21:23.562 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
15:21:23.638 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
15:21:23.720 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
15:21:23.806 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
15:21:23.885 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
15:21:23.969 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
15:21:24.054 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
15:21:24.137 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
15:21:24.597 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
15:21:45.322 [main] INFO  TestCases.TC_001_Registration - ****Closed browser*****
15:21:55.884 [main] INFO  TestCases.TC_001_Registration - ****Launched the Application*****
15:21:55.948 [main] INFO  TestCases.TC_001_Registration - ****Maximized the browser*****
15:21:55.955 [main] INFO  TestCases.TC_001_Registration - ****Waiting for elements to load*****
15:21:56.753 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
15:21:59.897 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
15:22:00.001 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
15:22:00.104 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
15:22:00.200 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
15:22:00.268 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
15:22:00.364 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
15:22:00.451 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
15:22:00.530 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
15:22:00.615 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
15:22:00.709 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
15:22:00.801 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
15:22:01.332 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
15:22:21.846 [main] INFO  TestCases.TC_001_Registration - ****Closed browser*****
15:22:42.960 [main] INFO  TestCases.TC_001_Registration - ****Launched the Application*****
15:22:45.484 [main] INFO  TestCases.TC_001_Registration - ****Maximized the browser*****
15:22:45.503 [main] INFO  TestCases.TC_001_Registration - ****Waiting for elements to load*****
15:22:46.299 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
15:22:49.423 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
15:22:49.534 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
15:22:49.647 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
15:22:49.763 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
15:22:49.866 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
15:22:49.971 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
15:22:50.079 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
15:22:50.189 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
15:22:50.306 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
15:22:50.401 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
15:22:50.491 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
15:22:51.453 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
15:23:11.969 [main] INFO  TestCases.TC_001_Registration - ****Closed browser*****
15:23:38.081 [main] INFO  TestCases.TC_001_Registration - ****Launched the Application*****
15:23:38.134 [main] INFO  TestCases.TC_001_Registration - ****Maximized the browser*****
15:23:38.146 [main] INFO  TestCases.TC_001_Registration - ****Waiting for elements to load*****
15:23:39.210 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
15:23:42.333 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
15:23:42.406 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
15:23:42.469 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
15:23:42.558 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
15:23:42.632 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
15:23:42.709 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
15:23:42.799 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
15:23:42.894 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
15:23:42.995 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
15:23:43.077 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
15:23:43.163 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
15:23:44.544 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
15:23:55.881 [main] INFO  TestCases.TC_001_Registration - ***Clicked on New Account***
15:24:01.464 [main] INFO  TestCases.TC_001_Registration - ****Closed browser*****
15:24:56.351 [main] INFO  TestCases.TC_001_Registration - ****Launched the Application*****
15:24:56.410 [main] INFO  TestCases.TC_001_Registration - ****Maximized the browser*****
15:24:56.422 [main] INFO  TestCases.TC_001_Registration - ****Waiting for elements to load*****
15:24:57.178 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
15:25:00.299 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
15:25:00.392 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
15:25:00.478 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
15:25:00.564 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
15:25:00.639 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
15:25:00.718 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
15:25:00.800 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
15:25:00.877 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
15:25:00.961 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
15:25:01.044 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
15:25:01.135 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
15:25:02.329 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
15:25:22.895 [main] INFO  TestCases.TC_001_Registration - ****Closed browser*****
15:25:43.191 [main] INFO  TestCases.TC_001_Registration - ****Launched the Application*****
15:25:43.243 [main] INFO  TestCases.TC_001_Registration - ****Maximized the browser*****
15:25:43.254 [main] INFO  TestCases.TC_001_Registration - ****Waiting for elements to load*****
15:25:44.029 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
15:25:47.199 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
15:25:47.285 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
15:25:47.355 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
15:25:47.431 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
15:25:47.489 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
15:25:47.574 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
15:25:47.664 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
15:25:47.759 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
15:25:47.843 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
15:25:47.935 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
15:25:48.027 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
15:25:49.727 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
15:26:00.203 [main] INFO  TestCases.TC_001_Registration - ***Clicked on New Account***
15:26:05.778 [main] INFO  TestCases.TC_001_Registration - ****Closed browser*****
10:37:18.170 [main] INFO  TestCases.TC_001_Registration - ****Launched the Application*****
10:37:18.243 [main] INFO  TestCases.TC_001_Registration - ****Maximized the browser*****
10:37:18.258 [main] INFO  TestCases.TC_001_Registration - ****Waiting for elements to load*****
10:37:19.062 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
10:37:22.242 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
10:37:22.345 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
10:37:22.435 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
10:37:22.522 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
10:37:22.599 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
10:37:22.685 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
10:37:22.785 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
10:37:22.872 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
10:37:22.967 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
10:37:23.060 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
10:37:23.165 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
10:37:23.691 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
10:37:34.262 [main] INFO  TestCases.TC_001_Registration - ***Clicked on New Account***
10:37:39.879 [main] INFO  TestCases.TC_001_Registration - ****Closed browser*****
10:59:48.132 [main] INFO  TestCases.TC_001_Registration - ****Launched the Application*****
10:59:50.175 [main] INFO  TestCases.TC_001_Registration - ****Maximized the browser*****
10:59:50.190 [main] INFO  TestCases.TC_001_Registration - ****Waiting for elements to load*****
10:59:51.066 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
10:59:54.213 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
10:59:54.301 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
10:59:54.388 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
10:59:54.482 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
10:59:54.560 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
10:59:54.642 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
10:59:54.732 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
10:59:54.819 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
10:59:54.906 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
10:59:55.014 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
10:59:55.125 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
10:59:55.818 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
11:00:06.385 [main] INFO  TestCases.TC_001_Registration - ***Clicked on New Account***
11:00:11.945 [main] INFO  TestCases.TC_001_Registration - ****Closed browser*****
11:03:52.760 [main] INFO  TestCases.TC_001_Registration - ****Launched the Application*****
11:03:52.821 [main] INFO  TestCases.TC_001_Registration - ****Maximized the browser*****
11:03:52.843 [main] INFO  TestCases.TC_001_Registration - ****Waiting for elements to load*****
11:03:54.079 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
11:03:57.202 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
11:03:57.298 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
11:03:57.386 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
11:03:57.480 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
11:03:57.555 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
11:03:57.637 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
11:03:57.732 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
11:03:57.834 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
11:03:57.925 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
11:03:58.023 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
